Class,Name of the City or Town,District,Population_2011,Population_2001,Population_1981,Population_1971,Population_1951,Population_1901
Class-I,Faridabad (M Corp.),Faridabad,1414050,1055938,330864,122817,37393,9816
Class-I,Gurgaon (M Corp. & OG),Gurgaon,886519,228820,100877,57151,18613,4765
Class-I,Rohtak (M Cl),Rohtak,374292,294577,166767,124755,71902,20323
Class-I,Hisar (M Cl & OG),Hisar,307024,263186,137369,89437,35297,17647
Class-I,Karnal (M Cl & OG),Karnal,302140,221236,132107,92784,59790,23559
Class-I,Panipat (M Cl & OG),Panipat,295970,354148,137927,87981,54981,26914
Class-I,Sonipat (M Cl & OG),Sonipat,289333,225074,109369,62393,30189,12990
Class-I,Yamunanagar (M Cl & OG),Yamunanagar,217071,306740,160424,115020,39627,13462
Class-I,Panchkula (M Cl),Panchkula,211355,140925,11239,NA,NA,NA
Class-I,Bhiwani (M Cl),Bhiwani,196057,169531,101277,73086,52183,35917
Class-I,Ambala (M Cl) Cantt,Ambala,195153,168316,121203,102493,94043,NA
Class-I,Sirsa (M Cl),Sirsa,182534,160735,89068,48808,24980,15800
Class-I,Bahadurgarh (M Cl),Jhajjar,170767,131925,37488,25812,11170,5974
Class-I,Jind (M Cl),Jind,167592,135855,56748,38161,19449,8047
Class-I,Thanesar (M Cl),Kurukshetra,155152,122319,49052,29555,11273,5066
Class-I,Kaithal (M Cl),Kaithal,144915,117285,58385,45199,28422,14408
Class-I,Rewari (M Cl),Rewari,143021,100684,51562,43885,34082,27295
Class-I,Palwal (M Cl & OG),Palwal,131926,100722,47328,36207,13915,12830
Class-I,Jagadhri (M Cl),Yamunanagar,124894,NA,NA,NA,NA,NA
Class-I,Ambala (M Cl & OG) City,Ambala,104974,139279,104565,83633,57979,78638
Class-II,Hansi (M Cl),Hisar,86770,75747,50365,41108,25837,16523
Class-II,Narnaul (M Cl),Mahendragarh,74581,62077,41441,31875,18180,19489
Class-II,Fatehabad (M Cl),Fatehabad,70777,59917,33049,22630,2968,2786
Class-II,Panipat Taraf Makhdum Zadgan (CT),Panipat,67998,NA,NA,NA,NA,NA
Class-II,Gohana (MC),Sonipat,65708,48532,26188,16754,8796,6567
Class-II,Tohana (M Cl),Fatehabad,63871,51519,25487,16789,7955,NA
Class-II,Narwana (M Cl),Jind,62090,50435,29242,21319,10368,NA
Class-II,Charkhi Dadri (MC),Bhiwani,56337,44895,27315,19484,8795,7009
Class-II,Ambala Cantt. (CB),Ambala,55370,NA,NA,NA,NA,NA
Class-II,Mandi Dabwali (MC),Sirsa,52873,53811,29071,20921,10380,NA
Class-II,Hodal (MC),Palwal,50143,38309,18740,14144,8303,8142
Class-III,Jhajjar (MC),Jhajjar,48424,39002,24247,18947,10514,12227
Class-III,Barwala (MC),Hisar,43384,33132,17648,NA,NA,NA
Class-III,Panipat Taraf Ansar (CT),Panipat,42877,NA,NA,NA,NA,NA
Class-III,Shahbad (MC),Kurukshetra,42607,37289,26308,21500,17301,11009
Class-III,Samalkha (MC & OG),Panipat,39710,29866,13532,NA,NA,NA
Class-III,Cheeka (MC),Kaithal,38952,32128,NA,NA,NA,NA
Class-III,Pehowa (MC),Kurukshetra,38853,33564,17279,11366,NA,NA
Class-III,Gharaunda (MC),Karnal,37816,30172,17332,13045,8632,NA
Class-III,Ratia (MC),Fatehabad,37152,23826,13065,NA,NA,NA
Class-III,Ellenabad (MC),Sirsa,36623,32795,NA,NA,NA,1624
Class-III,Sohna (MC),Gurgaon,36552,27570,12667,8775,5138,6024
Class-III,Pinjore (MC),Panchkula,35912,29609,NA,NA,NA,NA
Class-III,Ganaur (MC),Sonipat,35603,29006,16489,8399,NA,NA
Class-III,Safidon (MC),Jind,34728,27541,15116,12010,9426,4832
Class-III,Kalka (MC & OG),Panchkula,34134,30830,21359,17711,14058,7045
Class-III,Pundri (MC & OG),Kaithal,33484,17018,11804,9107,6552,5834
Class-III,Dharuhera (MC),Rewari,30344,18892,NA,NA,NA,NA
